,u,v,length,highway,name,maxspeed
4376,648296821,156253964,185.4253511798311,residential,昌化路,
4377,648296821,640200256,108.8641341517352,residential,昌化路,
4378,648296831,648297105,131.5766287830212,residential,陕西北路,
4379,648296831,156254168,172.83060317028583,residential,陕西北路,
4380,648296844,1798205454,8.303547698463422,secondary,镇坪路,
4381,648296844,648296952,241.4482012581857,residential,宜昌路,
4382,648296844,11928816898,268.1257252463334,residential,宜昌路,
4383,648296844,1448905865,362.94203777730195,secondary,常德路,
4384,648296952,1448909718,214.4808939010818,residential,西康路,
4385,648296952,648296844,241.4482012581857,residential,宜昌路,
4386,648296952,648296963,298.94634611217555,residential,宜昌路,
4387,648296963,648297105,260.79566090638605,residential,陕西北路,
4388,648296963,648296972,310.9779607401016,residential,宜昌路,
4389,648296963,648296952,298.94634611217555,residential,宜昌路,
4390,648296972,648296963,310.9779607401016,residential,宜昌路,
4391,648296972,640199610,480.00513701550585,residential,宜昌路,
4392,648297018,648296972,154.35118566623044,residential,,
4393,648297018,648297112,130.86633448364904,secondary,江宁路,
4394,648297018,1545411617,732.7663939167707,secondary,"['光复西路', '江宁路', '江宁路桥']",
4395,648297096,648297105,257.5772118813413,residential,澳门路,
4396,648297096,1448909718,65.82286328566855,residential,西康路,
4397,648297096,618749461,287.99803766192633,residential,西康路,
4398,648297097,469886984,313.23141146622646,residential,新会路,
4399,648297097,469886991,183.1379693159249,tertiary,西康路,
4400,648297105,648297096,257.5772118813413,residential,澳门路,
4401,648297105,648296831,131.5766287830212,residential,陕西北路,
4402,648297105,648296963,260.79566090638605,residential,陕西北路,
4403,648297105,648297112,264.94144017560143,residential,澳门路,
4404,648297112,648297130,18.589491367318818,secondary,江宁路,
4405,648297112,648297018,130.86633448364904,secondary,江宁路,
4406,648297120,648297097,164.68648671237733,residential,新会路,
4407,648297120,600489670,218.46548526551007,secondary,陕西北路,
4408,648297130,648297112,18.589491367318818,secondary,江宁路,
4409,648297130,640200256,314.72689771209417,residential,澳门路,
4410,648297130,156261340,164.15760752269193,secondary,江宁路,
4411,648297174,2355891367,136.72526144151152,residential,海防路,
4412,648297174,554149799,272.83230742492646,secondary,陕西北路,
4413,648297174,156261805,182.1020823766267,residential,海防路,
4414,648297494,9148426414,177.6355199670059,residential,光复路,
4415,648491478,475397521,85.93334717610651,tertiary,东宝兴路,
4416,648491478,12500799693,130.15022986402298,tertiary,东宝兴路,
4417,648491478,648491480,280.6066422041702,residential,天通庵路,
4418,648491480,12842326991,38.04643784085051,residential,宝通路,
